,welch_2,welch_10,welch_15,welch_20,welch_25,welch_30,welch_35
82,1.0719106039160293e-10,3.557426915709664e-10,6.634267866916575e-10,1.1271739697699845e-09,1.6954428450380698e-09,1.5327686962922048e-09,1.1517912886780038e-09
83,1.1018713902490692e-10,3.2173109355413337e-10,6.096499950937435e-10,1.4463618166157857e-09,2.6257070439562523e-09,7.772967543628538e-10,1.7158894356828e-09
84,9.666475200604511e-11,2.8481310635243286e-10,6.455292948011898e-10,1.2107309243067086e-09,1.6053091649164862e-09,8.081327092246358e-10,1.1641929055009752e-09
85,9.690967854932709e-11,2.5987437638854596e-10,6.683522518091492e-10,1.1359773453476176e-09,1.2432218978211016e-09,9.700374764456961e-10,2.5210200456568843e-10
86,9.523931984999658e-11,2.8763131533131606e-10,6.21217577614334e-10,1.4384211793131053e-09,1.7061086757715802e-09,1.7166519829535863e-09,1.2344272555729102e-09
87,9.289795542683143e-11,2.968642647373432e-10,5.564189579938396e-10,7.907267777384237e-10,2.06103586251477e-09,1.5003106744322013e-09,2.5933866713401556e-09
88,9.428203701108809e-11,2.769615448110912e-10,4.938626834814814e-10,1.0023421436301424e-09,1.356832234233494e-09,1.87927290864618e-09,1.5058221349218871e-10
89,8.873762394122893e-11,2.5823206706526107e-10,6.025829808875909e-10,1.1957604669248198e-09,2.1134072797371025e-09,1.25150609869213e-09,2.593080810618812e-10
90,8.081420953044153e-11,2.5153750565873923e-10,4.345975630127164e-10,8.788764625064957e-10,1.245401631490846e-09,5.943450881694215e-10,7.653561767895742e-10
91,8.390890444915892e-11,2.502643607668626e-10,3.7152510250344217e-10,1.2497617082558694e-09,1.911358546845519e-09,2.9666284227827065e-10,1.498142586682906e-09
92,8.04928459127497e-11,2.606956436460522e-10,5.565465288610583e-10,1.0478018574588905e-09,1.273686298430315e-09,5.127501110528869e-10,4.618111226220931e-10
93,7.725725201611172e-11,2.0414444515962014e-10,3.856138210018914e-10,1.3404992881723041e-09,1.1238651607004176e-09,1.5788344698077406e-09,7.9578212499525e-10
94,7.975254353980735e-11,2.382590123654923e-10,4.898706805872852e-10,7.849628047744945e-10,1.4971624109639727e-09,2.522483058145897e-10,2.9842028595181193e-11
95,7.117534793594117e-11,2.2912192232652302e-10,4.251545268922286e-10,9.817531871331965e-10,1.011798346016409e-09,7.62741280509339e-10,1.307740138196668e-10
96,7.419869482777419e-11,1.7158060438868292e-10,4.2106296883578014e-10,8.248823302873565e-10,1.4777706289116746e-09,6.899666449484622e-10,3.282307748353786e-10
97,6.886932354631484e-11,2.0338216106230637e-10,4.0057775277380867e-10,1.0180324698801865e-09,1.6987546798747464e-09,7.988173806919367e-10,1.7728049630034815e-09
